rank,german,dutch,dutch_alt,dutch_article,pos,lemma_used,match_type,frequency,per_million
1,ich,ik,ikke,,Personalpronomen,,direct,5890279,37717.21
2,sie,zij,ze; haar; hen,,Personalpronomen,,direct,3806767,24375.86
3,das,dat,,,,,direct,3122198,19992.36
4,ist,zijn,wezen,,Verb,sein,lemma,3025610,19373.88
5,du,jij,je,,Personalpronomen,,direct,2947020,18870.65
6,nicht,niet,,,Adverb,,direct,2756783,17652.50
7,die,de,,,Artikel,,direct,2484854,15911.26
8,es,het,,,Personalpronomen,,direct,2303025,14746.95
9,und,en,,,Konjunktion,,direct,2289891,14662.85
10,der,de,,,Artikel,,direct,1726001,11052.10
11,wir,wij,we,,Personalpronomen,,direct,1721620,11024.05
12,was,wat,hetgeen,,Pronomen,,direct,1696010,10860.06
13,zu,te,,,Präposition,,direct,1424706,9122.82
14,er,hij,'ie,,Personalpronomen,,direct,1352161,8658.29
15,ein,een,,,Artikel,,direct,1315301,8422.26
16,in,in,,,Präposition,,direct,1231372,7884.84
17,ja,ja,,,Antwortpartikel,,direct,1054114,6749.81
18,mir,mij,,,Personalpronomen,,direct,1019451,6527.85
19,mit,met,,,Präposition,,direct,1014541,6496.41
20,wie,hoe,als,,Adverb,,direct,928920,5948.15
21,den,de,,,Artikel,der,lemma,920646,5895.17
22,mich,me,,,Reflexivpronomen,,direct,893076,5718.63
23,auf,op,open,,Präposition,,direct,881418,5643.98
24,dass,dat,,,Subjunktion,,direct,879520,5631.83
25,aber,maar,echter,,Konjunktion,,direct,854492,5471.57
26,eine,een,,,Artikel,ein,lemma,839485,5375.47
27,so,zo,,,Gradpartikel,,direct,813903,5211.66
28,hat,hebben,,,Verb,haben,lemma,799017,5116.34
29,hier,hier,alhier,,Adverb,,direct,754243,4829.64
30,haben,hebben,,,Verb,,direct,742327,4753.34
31,für,voor,,,Präposition,,direct,735252,4708.04
32,sind,zijn,wezen,,Verb,sein,lemma,727078,4655.70
33,war,zijn,wezen,,Verb,sein,lemma,712337,4561.31
34,von,van,,,Präposition,,direct,706490,4523.87
35,wenn,als,,,Subjunktion,,direct,694462,4446.85
36,dich,jou,,,Personalpronomen,,direct,688780,4410.46
37,ihr,jullie,,,Personalpronomen,,direct,655351,4196.41
38,nein,nee,neen,,Antwortpartikel,,direct,641479,4107.58
39,habe,bezit,,,Substantiv,,direct,636175,4073.62
40,an,aan,,,Adverb,,direct,627600,4018.71
41,bin,zijn,wezen,,Verb,sein,lemma,576589,3692.07
42,noch,nog,nog steeds,,Adverb,,direct,572486,3665.80
43,nur,alleen,slechts; maar; nou,,Fokuspartikel,,direct,564245,3613.03
44,da,daar,omdat,,Adverb,,direct,564244,3613.02
45,dir,jou,,,Personalpronomen,,direct,554802,3552.56
46,sich,zich,zichzelf,,Reflexivpronomen,,direct,533395,3415.49
47,einen,verenigen,,,Verb,,direct,532402,3409.13
48,uns,ons,,,Personalpronomen,,direct,523604,3352.79
49,hast,haast,,,Substantiv,,direct,511491,3275.23
50,dem,de,,,Artikel,der,lemma,465044,2977.82
51,kann,kunnen,,,Verb,können,lemma,461755,2956.75
52,gut,goed,,,Adjektiv,,direct,452726,2898.94
53,auch,ook,eveneens,,Adverb,,direct,449250,2876.68
54,schon,al,reeds,,Adverb,,direct,442343,2832.45
55,als,toen,dan,,Konjunktion,,direct,440490,2820.59
56,sein,zijn,wezen,,Verb,,direct,440142,2818.36
57,mal,keer,moedervlek; brandmerk,,Substantiv,,direct,435631,2789.47
58,jetzt,nu,,,Adverb,,direct,435411,2788.07
59,ihn,hem,,,Personalpronomen,,direct,435147,2786.38
60,dann,toen,dan,,Adverb,,direct,429424,2749.73
61,aus,uit,,,Präposition,,direct,425184,2722.58
62,meine,denken,menen,,Verb,meinen,lemma,420280,2691.18
63,um,rondom,om; met; heen,,Präposition,,direct,417759,2675.04
64,im,in,,,Kontraktion,,direct,403737,2585.25
65,wird,worden,zullen; gaan,,Verb,werden,lemma,394216,2524.28
66,mein,mijn,,,Possessivpronomen,,direct,384765,2463.76
67,bist,zijn,wezen,,Verb,sein,lemma,381498,2442.85
68,doch,jawel,,,Antwortpartikel,,direct,381456,2442.58
69,alles,alles,,,,,direct,366575,2347.29
70,weiß,wit,blank,,Adjektiv,,direct,357869,2291.54
71,keine,geen,,,Indefinitpronomen,kein,lemma,349315,2236.77
72,oder,of,dan wel,,Konjunktion,,direct,341214,2184.89
73,nach,na,achter; naar; volgens,,Präposition,,direct,326208,2088.81
74,nichts,niets,,,Indefinitpronomen,,direct,308672,1976.52
75,man,ze,zij,,Indefinitpronomen,,direct,300922,1926.89
76,muss,must,,,Substantiv,,direct,295567,1892.60
77,werden,worden,zullen; gaan,,Verb,,direct,294676,1886.90
78,will,willen,,,Verb,wollen,lemma,293445,1879.02
79,ihnen,hen,,,Personalpronomen,,direct,292370,1872.13
80,geht,gaan,lopen; rijzen,,Verb,gehen,lemma,290919,1862.84
81,wo,waar,,,Adverb,,direct,288363,1846.47
82,etwas,iets,,,Indefinitpronomen,,direct,286968,1837.54
83,oh,o,,,Interjektion,,direct,284455,1821.45
84,mehr,meer,,,Adverb,,direct,281301,1801.25
85,bei,bij,,,Präposition,,direct,277087,1774.27
86,also,dus,aldus,,Adverb,,direct,276548,1770.82
87,bitte,alstublieft,graag gedaan,,Adverb,,direct,261548,1674.77
88,immer,altijd,steeds,,Adverb,,direct,260238,1666.38
89,hab,hebben,,,Verb,haben,lemma,252697,1618.09
90,warum,waarom,,,Adverb,,direct,251177,1608.36
91,vor,voor,,,Präposition,,direct,247840,1586.99
92,los,vooruit,,,Adverb,,direct,242543,1553.07
93,können,kunnen,,,Verb,,direct,240905,1542.59
94,wieder,weer,,,Adverb,,direct,240508,1540.04
95,sagen,zeggen,spreken,,Verb,,direct,236702,1515.67
96,machen,doen,maken,,Verb,,direct,228412,1462.59
97,danke,bedankt,dank u; dank je,,Interjektion,,direct,227937,1459.55
98,sehr,heel,zeer; uiterst,,Gradpartikel,,direct,226425,1449.87
99,alle,op,uit,,Adverb,,direct,224850,1439.78
100,denn,aangezien,,,Konjunktion,,direct,224543,1437.82
101,mann,man,echtgenoot,de,Substantiv,,direct,222707,1426.06
102,tun,doen,,,Verb,,direct,219102,1402.98
103,ihm,hem,,,Personalpronomen,,direct,217025,1389.68
104,zum,à la,,,Kontraktion,,direct,216201,1384.40
105,gehen,gaan,lopen; rijzen,,Verb,,direct,213952,1370.00
106,sehen,zien,aanschouwen,,Verb,,direct,212948,1363.57
107,vielleicht,misschien,wellicht,,Modaladverb,,direct,212216,1358.88
108,einem,een,,,Artikel,ein,lemma,210889,1350.39
109,wer,wie,,,Interrogativpronomen,,direct,210823,1349.96
110,ihre,jullie,,,Personalpronomen,ihr,lemma,208915,1337.74
111,diese,dit,,,,,direct,208607,1335.77
112,euch,ge,,,Personalpronomen,,direct,206931,1325.04
113,einer,een,,,Artikel,ein,lemma,202097,1294.09
114,komm,komen,klaarkomen,,Verb,kommen,lemma,201117,1287.81
115,über,boven,over; bovenop,,Präposition,,direct,196855,1260.52
116,gibt,geven,zijn; verstrekken; bestaan,,Verb,geben,lemma,196771,1259.98
117,okay,OK,oké,,Adjektiv,,direct,196683,1259.42
118,wissen,weten,,,Verb,,direct,192456,1232.35
119,deine,jouw,,,Possessivpronomen,dein,lemma,191923,1228.94
120,müssen,moeten,,,Verb,,direct,191257,1224.68
121,soll,debet,,,Substantiv,,direct,191100,1223.67
122,werde,worden,zullen; gaan,,Verb,werden,lemma,187290,1199.27
123,nie,nooit,,,Adverb,,direct,185925,1190.53
124,wirklich,werkelijk,,,Adverb,,direct,185166,1185.67
125,hey,begroeting,,,Interjektion,,direct,185011,1184.68
126,kein,geen,,,Indefinitpronomen,,direct,177553,1136.92
127,viel,veel,,,Adjektiv,,direct,176767,1131.89
128,weg,weg,,de,Substantiv,,direct,175124,1121.37
129,würde,waardigheid,,,Substantiv,,direct,175047,1120.88
130,tut,doen,,,Verb,tun,lemma,172752,1106.18
131,am,,,,,,none,170913,1094.41
132,des,des,,,Substantiv,,direct,169182,1083.32
133,einfach,eenvoudig,enkel; gewoonweg,,Adjektiv,,direct,168892,1081.47
134,leben,leven,,,Substantiv,,direct,167721,1073.97
135,hatte,hebben,,,Verb,haben,lemma,162793,1042.41
136,zeit,tijd,,de,Substantiv,,direct,160393,1027.04
137,weil,omdat,Men moet het ijzer smeden als het heet is; zolang,,Subjunktion,,direct,159743,1022.88
138,willst,willen,,,Verb,wollen,lemma,159106,1018.80
139,kommen,komen,klaarkomen,,Verb,,direct,156754,1003.74
140,dein,jouw,,,Possessivpronomen,,direct,155913,998.36
141,heute,vandaag,,,Temporaladverb,,direct,154162,987.15
142,kommt,komen,klaarkomen,,Verb,kommen,lemma,153845,985.12
143,wollen,willen,,,Verb,,direct,152595,977.11
144,damit,opdat,,,Subjunktion,,direct,150635,964.56
145,ganz,heel,geheel; compleet; gaaf,,Adjektiv,,direct,149683,958.46
146,wäre,zijn,wezen,,Verb,sein,lemma,149557,957.66
147,wollte,willen,,,Verb,wollen,lemma,148643,951.81
148,weißt,bleken,,,Verb,weißen,lemma,147614,945.22
149,ok,,,,,,none,147191,942.51
150,sicher,veilig,zeker,,Adjektiv,,direct,145360,930.78
151,gesagt,zeggen,spreken,,Verb,sagen,lemma,144870,927.65
152,frau,vrouw,mevrouw; echtgenote,de,Substantiv,,direct,143725,920.31
153,nun,nu,,,Adverb,,direct,143552,919.21
154,bis,tot,tot en met,,Präposition,,direct,142166,910.33
155,wurde,worden,zullen; gaan,,Verb,werden,lemma,141236,904.38
156,leid,verdriet,,,Substantiv,,direct,140641,900.57
157,na,nou,,,Partikel,,direct,140395,898.99
158,kannst,kunnen,,,Verb,können,lemma,136795,875.94
159,macht,macht,,,Substantiv,,direct,134768,862.96
160,dieser,deze,,,Demonstrativpronomen,,direct,134205,859.35
161,zurück,terug,,,Adverb,,direct,133326,853.73
162,lassen,laten,,,Verb,,direct,131393,841.35
163,hallo,hallo,hoi,,Interjektion,,direct,128561,823.21
164,meinen,denken,menen,,Verb,,direct,128288,821.47
165,gott,God,god,de,Substantiv,,direct,127498,816.41
166,seine,Seine,,,Substantiv,,direct,126038,807.06
167,hätte,hebben,,,Verb,haben,lemma,125345,802.62
168,zwei,twee,tweejarig,,Numerale,,direct,122625,785.20
169,könnte,kunnen,,,Verb,können,lemma,117870,754.76
170,genau,exact,,,Antwortpartikel,,direct,117667,753.46
171,waren,zijn,wezen,,Verb,sein,lemma,117474,752.22
172,zur,,,,,,none,115474,739.41
173,lass,flauw,,,Adjektiv,,direct,115316,738.40
174,klar,sereen,helder,,Adjektiv,,direct,113688,727.98
175,morgen,morgen,,,Adverb,,direct,112042,717.44
176,leute,mensen,lui; lieden,,Substantiv,,direct,109956,704.08
177,vater,vader,papa,de,Substantiv,,direct,109048,698.27
178,schön,mooi,leuk,,Adjektiv,,direct,106669,683.03
179,glaube,geloof,vertrouwen,,Substantiv,,direct,105941,678.37
180,ab,vanaf,,,Präposition,,direct,104853,671.40
181,gerade,recht,even,,Adjektiv,,direct,104130,666.78
182,tag,dag,etmaal,de,Substantiv,,direct,103559,663.12
183,gesehen,zien,aanschouwen,,Verb,sehen,lemma,103106,660.22
184,reden,spreken,praten,,Verb,,direct,101992,653.09
185,wohl,welzijn,,,Substantiv,,direct,100488,643.45
186,liebe,liefde,,de,Substantiv,,direct,99301,635.85
187,sollte,moeten,zullen,,Verb,sollen,lemma,98826,632.81
188,sagte,zeggen,spreken,,Verb,sagen,lemma,98657,631.73
189,unsere,ons,,,Possessivpronomen,unser,lemma,98478,630.58
190,jemand,iemand,,,Indefinitpronomen,,direct,98283,629.34
191,geld,geld,poen,,Substantiv,,direct,98052,627.86
192,durch,door,,,Präposition,,direct,97587,624.88
193,ob,of,,,Subjunktion,,direct,97001,621.13
194,keinen,geen,,,Indefinitpronomen,kein,lemma,96394,617.24
195,mutter,moeder,moer,de,Substantiv,,direct,95349,610.55
196,raus,out,,,Adverb,,direct,95012,608.39
197,gemacht,doen,maken,,Verb,machen,lemma,94261,603.58
198,paar,paar,,,Substantiv,,direct,93818,600.74
199,mach,doen,maken,,Verb,machen,lemma,93345,597.72
200,passiert,,,,,,none,93021,595.64
201,dachte,,,,,,none,92867,594.66
